survey-commit,Data,iteration,example,annotator,experiment_version,commit_id,commit_url,GT_rationale,Generated_response,Goal-IC,Goal-EI,Need-IC,Need-EI,Alt-IC,Alt-EI,Overall-IC,Overall-EI,EI-Complementary,F1,F2
,Dev,1,0,annotator1,CG-ZS,29742,https://github.com/spring-projects/spring-boot/commit/1c789f1a8d7fea4af7624496197fa931a3d4634d,"GOAL: Remove dependency management for `hibernate-entitymanager` because it is redundant. 
NEED: Since Spring Boot 2.0 supports Hibernate 5.2 as a minimum, the hibernate-entitymanager dependency should be removed, and `hibernate-core` should be used directly instead. The hibernate-entitymanager module was merged into hibernate-core in Hibernate 5.2 and now exists only as an empty artifact for backward compatibility. It is scheduled for removal in Hibernate 6.0. 
ALTERNATIVES: The commit isn’t needed since the artifact may no longer be required, however removing it would go against the policy of providing dependency management for all modules.","GOAL: Remove dependency management and direct dependencies on the now-redundant `hibernate-entitymanager` artifact across Spring Boot modules, replacing them with `hibernate-core`.  

NEED: Since Hibernate 5.2 merged `hibernate-entitymanager` into `hibernate-core` (making the former an empty compatibility artifact slated for removal in Hibernate 6) and Spring Boot 2.0 requires at least Hibernate 5.2, managing or depending on `hibernate-entitymanager` is no longer necessary.  

ALTERNATIVES: The team considered retaining dependency management for `hibernate-entitymanager`—both to cover all library modules per policy and because the artifact still exists in Hibernate 5.2 (and would harmlessly remain a no-op in Hibernate 6)—but ultimately chose to remove it.",5,3,5,1,5,2,,,,,
,Dev,1,0,annotator2,CG-ZS,928,https://github.com/junit-team/junit4/commit/5eee07b3e21f196b8cb937fb88eb8cf4be694f76,"GOAL: Optimize ParentRunner.filter by filtering the elements so that it does not create redundant nested filters for each suite.
NEED: Prior to this change, applying a filter to a nested suite would create redundant nested filters, i.e., for each suite or test class, ParentRunner.filter() called Filter.intersect() again.","GOAL: Optimize ParentRunner.filter for nested suites by removing the internal fFilter state and directly applying the passed filter to each child, avoiding redundant nested filters.  
NEED: Prior to this change, applying a filter to a nested suite would create redundant nested filters—ParentRunner.filter() repeatedly called Filter.intersect() for each suite or test class.",5,2,5,1,,,,,,,
,Dev,1,0,annotator2,CG-ZS,1625,https://github.com/junit-team/junit4/commit/b1d37670892cd885b87a7c62d7c5808517fd20b6,GOAL: Remove the variable from the MaxStarterTest class because it was unused.,GOAL: Remove the unused variable `fMessage` from MaxStarterTest.,4,2,,,,,,,,,
,Dev,1,0,annotator2,CG-ZS,3261,https://github.com/apache/dubbo/commit/5f19335477a9ea4eb0af0dd0bdbe068b4e309edd,GOAL: Update the spelling of AcessLogFilter to AccessLogFilter.,GOAL: Fixed a typo in AccessLogFilter by changing “AcessLogFilter” to “AccessLogFilter” in the logger warning message and corresponding test assertion.,5,4,,,,,,,,,
,Dev,1,0,annotator2,CG-ZS,4762,https://github.com/square/retrofit/commit/9d683b75b111e60d30da8a03335d2ce71f5e8585,"GOAL: Update Retrofit’s coroutine suspension mechanism to use Dispatchers.Default and low-level coroutine intrinsics, instead of relying on yield.
NEED: With the current implementation, it's possible for certain dispatchers to completely avoid yielding, and currently, the immediate dispatchers exhibit this behavior. For this reason, Retrofit crashes with `UndeclaredThrowableException` when using the `suspend` modifier, making multiple requests, or throwing an exception from an interceptor.","GOAL: Migrate the forced‐suspension mechanism from `yieldAndThrow` (using `yield()`) to a new `suspendAndThrow` implementation that uses `Dispatchers.Default` and low-level coroutine intrinsics, replacing calls in `SuspendForResponse` and `SuspendForBody`, and update tests to use a dispatcher that prevents `yield()` from deferring work to avoid regressions.  
NEED: Some dispatchers (notably immediate ones) can completely avoid `yield()`, so exceptions thrown synchronously in OkHttp callbacks get delivered immediately—causing unchecked `UndeclaredThrowableException` in Java proxies—and Retrofit lacks its own thread pool to defer resumption, necessitating a reliable suspension mechanism before throwing.  
ALTERNATIVES: Considered having users annotate every suspend interface method with `@Throws(IOException::class)` or `@Throws(Exception::class)` to satisfy proxy boundaries, or bouncing exceptions into the continuation on OkHttp’s executor, but instead implemented forced suspension via coroutine intrinsics.",5,4,3,3,,,,,,,
,Dev,1,0,annotator2,CG-ZS,4807,https://github.com/square/retrofit/commit/ac566e1abd3fee77d8d588a2cd97c5056d330d2c,"GOAL: Ensure Retrofit’s eagerlyValidateMethods() ignores static interface methods.
NEED: Retrofit 2.1.0 throws an exception when building a client implementation proxy if the interface has static methods.","GOAL: Ignore static interface methods during eager validation to support Java 8 interface static methods.  
NEED: Retrofit 2.1.0 currently throws an exception building a client proxy if the interface has static methods because eagerlyValidateMethods does not bypass them.  
ALTERNATIVES: Add a check for static methods (`(method.getModifiers() & Modifier.STATIC) != Modifier.STATIC`) in eagerlyValidateMethods, either directly or via Platform.",3,3,5,2,1,5,,,,,
,Dev,1,0,annotator2,CG-ZS,4928,https://github.com/square/retrofit/commit/a307aaac884dc7f1b1ef99f8f94125d8d141dc54,"GOAL: Add an API that returns a list of call adapter factories.
NEED: The developer needed a way to modify the list of CallAdapter.Factory instances in the same way as OkHttpClient.Builder allows access to a mutable list of interceptors. But Retrofit.Builder did not provide an API to retrieve this list.","GOAL: Add a new Retrofit.Builder.callAdapterFactories() method—a sister API to converterFactories()—that returns a modifiable List<CallAdapter.Factory>.

NEED: Expose a mutable list of CallAdapter.Factory instances on the Builder so clients can call newBuilder() and swap in custom adapters, similar to converterFactories() and OkHttpClient.Builder’s interceptor list.

ALTERNATIVES: Considered keeping default factories out of the exposed list by moving them into build() and stripping them out when cloning via newBuilder() rather than exposing them directly.",4,4,4,2,,,,,,,
,Dev,1,0,annotator2,CG-ZS,6326,https://github.com/square/okhttp/commit/53e0f9e7fb39f7babd6388a7a56e9c7e827667e7,"GOAL: Adopt Kotlin idioms in the Headers API.
ALTERNATIVES: Using an inline function(forEachHeader()) and changing the internal data store to an array of (name, value) pairs could be used as alternatives.","GOAL: Adopt idiomatic Kotlin in Headers

ALTERNATIVES: One alternative was to provide an inline `forEachHeader()` function, but it wasn’t as flexible. Another was to change the internal store from alternating names and values to an array of pairs, which could reduce allocations on repeated iteration.",4,1,,,5,2,,,,,
,Dev,1,0,annotator2,CG-ZS,6367,https://github.com/square/okhttp/commit/a1265b6140a8fe336602b969960d4048ebd1d3da,"GOAL: Fix a regression in combining cache headers
NEED: Iterating over the indices of the header names doesn't work because header names are not distinct, and because of this, cached header combinations drop headers.
ALTERNATIVES: Avoiding duplicate headers in the cache, or refactoring the headers to handle duplicates, or rolling back to Retrofit 2.5.0 and OkHttp 3.14.0 could fix the problem.","GOAL: Fix a regression in combining cache headers by iterating over header entries using their actual count (size) instead of the deduplicated names set.

NEED: After migrating to Kotlin, combine() used cachedHeaders.names().indices, but names() isn’t distinct, so duplicate headers (e.g. “vary”) cause the index range to be too small and drop entries like content-encoding, leading Retrofit to misparse cached (gzipped) responses.

ALTERNATIVES: Consider preventing duplicate headers in the cache or refactoring the Header API to handle duplicate header names.",5,3,4,4,3,1,,,,,
,Dev,1,0,annotator2,CG-ZS,29742,https://github.com/spring-projects/spring-boot/commit/1c789f1a8d7fea4af7624496197fa931a3d4634d,"GOAL: Remove dependency management for `hibernate-entitymanager` because it is redundant. 
NEED: Since Spring Boot 2.0 supports Hibernate 5.2 as a minimum, the hibernate-entitymanager dependency should be removed, and `hibernate-core` should be used directly instead. The hibernate-entitymanager module was merged into hibernate-core in Hibernate 5.2 and now exists only as an empty artifact for backward compatibility. It is scheduled for removal in Hibernate 6.0. 
ALTERNATIVES: The commit isn’t needed since the artifact may no longer be required, however removing it would go against the policy of providing dependency management for all modules.","GOAL: Remove dependency management and direct dependencies on the now-redundant `hibernate-entitymanager` artifact across Spring Boot modules, replacing them with `hibernate-core`.  

NEED: Since Hibernate 5.2 merged `hibernate-entitymanager` into `hibernate-core` (making the former an empty compatibility artifact slated for removal in Hibernate 6) and Spring Boot 2.0 requires at least Hibernate 5.2, managing or depending on `hibernate-entitymanager` is no longer necessary.  

ALTERNATIVES: The team considered retaining dependency management for `hibernate-entitymanager`—both to cover all library modules per policy and because the artifact still exists in Hibernate 5.2 (and would harmlessly remain a no-op in Hibernate 6)—but ultimately chose to remove it.",5,2,5,1,3,4,,,,,
,Dev,2,2,annotator2,CG-FS,928,https://github.com/junit-team/junit4/commit/5eee07b3e21f196b8cb937fb88eb8cf4be694f76,"GOAL: Optimize ParentRunner.filter by filtering the elements so that it does not create redundant nested filters for each suite.
NEED: Prior to this change, applying a filter to a nested suite would create redundant nested filters, i.e., for each suite or test class, ParentRunner.filter() called Filter.intersect() again.","GOAL: Optimize ParentRunner.filter for nested suites by removing the fFilter.intersect step and directly applying the passed Filter to each child.  
NEED: Before this change, filtering a nested suite repeatedly called Filter.intersect for each suite or test class, creating redundant nested Filter instances.",4,2,4,1,,,,,,,
,Dev,2,2,annotator2,CG-FS,1625,https://github.com/junit-team/junit4/commit/b1d37670892cd885b87a7c62d7c5808517fd20b6,GOAL: Remove the variable from the MaxStarterTest class because it was unused.,GOAL: Remove the unused variable `fMessage` from `MaxStarterTest`.,4,2,,,,,,,,,
,Dev,1,0,resolved,CG-ZS,928,https://github.com/junit-team/junit4/commit/5eee07b3e21f196b8cb937fb88eb8cf4be694f76,"GOAL: Optimize ParentRunner.filter by filtering the elements so that it does not create redundant nested filters for each suite.
NEED: Prior to this change, applying a filter to a nested suite would create redundant nested filters, i.e., for each suite or test class, ParentRunner.filter() called Filter.intersect() again.","GOAL: Optimize ParentRunner.filter for nested suites by removing the internal fFilter state and directly applying the passed filter to each child, avoiding redundant nested filters.  
NEED: Prior to this change, applying a filter to a nested suite would create redundant nested filters—ParentRunner.filter() repeatedly called Filter.intersect() for each suite or test class.",5,2,5,1,,,,,,,
,Dev,1,0,resolved,CG-ZS,1625,https://github.com/junit-team/junit4/commit/b1d37670892cd885b87a7c62d7c5808517fd20b6,GOAL: Remove the variable from the MaxStarterTest class because it was unused.,GOAL: Remove the unused variable `fMessage` from MaxStarterTest.,4,2,,,,,,,,,
,Dev,1,0,resolved,CG-ZS,3142,https://github.com/apache/dubbo/commit/8798d3852ed0e9e82f037e89f9b8cd8b96a17e49,"GOAL: Ensure that protocols are not registered when the register attribute is set to false by configuring register to false by default.
NEED: The protocol register registers a protocol, even when the register attribute is set to false. Besides, the log message is incorrect.","GOAL: Introduce and use a REGISTER_KEY parameter (removing the hard-coded default of true) so that when a protocol’s register flag is false the service is only exported locally and not registered in the registry; update logging to report “Register…” only when register=true and “Export…” otherwise.

NEED: The `<dubbo:protocol register=""false""/>` setting was ignored—services with register=false were still being registered (e.g., in Zookeeper) because ProtocolConfig::isRegister was never applied, so the register attribute had no effect.",5,3,3,2,,,,,,,
,Dev,1,0,resolved,CG-ZS,3261,https://github.com/apache/dubbo/commit/5f19335477a9ea4eb0af0dd0bdbe068b4e309edd,GOAL: Update the spelling of AcessLogFilter to AccessLogFilter.,GOAL: Fixed a typo in AccessLogFilter by changing “AcessLogFilter” to “AccessLogFilter” in the logger warning message and corresponding test assertion.,5,3,,,,,,,,,
,Dev,1,0,resolved,CG-ZS,4762,https://github.com/square/retrofit/commit/9d683b75b111e60d30da8a03335d2ce71f5e8585,"GOAL: Update Retrofit’s coroutine suspension mechanism to use Dispatchers.Default and low-level coroutine intrinsics, instead of relying on yield.
NEED: With the current implementation, it's possible for certain dispatchers to completely avoid yielding, and currently, the immediate dispatchers exhibit this behavior. For this reason, Retrofit crashes with `UndeclaredThrowableException` when using the `suspend` modifier, making multiple requests, or throwing an exception from an interceptor.","GOAL: Migrate the forced‐suspension mechanism from `yieldAndThrow` (using `yield()`) to a new `suspendAndThrow` implementation that uses `Dispatchers.Default` and low-level coroutine intrinsics, replacing calls in `SuspendForResponse` and `SuspendForBody`, and update tests to use a dispatcher that prevents `yield()` from deferring work to avoid regressions.  
NEED: Some dispatchers (notably immediate ones) can completely avoid `yield()`, so exceptions thrown synchronously in OkHttp callbacks get delivered immediately—causing unchecked `UndeclaredThrowableException` in Java proxies—and Retrofit lacks its own thread pool to defer resumption, necessitating a reliable suspension mechanism before throwing.  
ALTERNATIVES: Considered having users annotate every suspend interface method with `@Throws(IOException::class)` or `@Throws(Exception::class)` to satisfy proxy boundaries, or bouncing exceptions into the continuation on OkHttp’s executor, but instead implemented forced suspension via coroutine intrinsics.",5,4,4,3,1,5,,,,,
,Dev,1,0,resolved,CG-ZS,4807,https://github.com/square/retrofit/commit/ac566e1abd3fee77d8d588a2cd97c5056d330d2c,"GOAL: Ensure Retrofit’s eagerlyValidateMethods() ignores static interface methods.
NEED: Retrofit 2.1.0 throws an exception when building a client implementation proxy if the interface has static methods.","GOAL: Ignore static interface methods during eager validation to support Java 8 interface static methods.  
NEED: Retrofit 2.1.0 currently throws an exception building a client proxy if the interface has static methods because eagerlyValidateMethods does not bypass them.  
ALTERNATIVES: Add a check for static methods (`(method.getModifiers() & Modifier.STATIC) != Modifier.STATIC`) in eagerlyValidateMethods, either directly or via Platform.",5,3,5,2,1,5,,,,,
,Dev,1,0,resolved,CG-ZS,4928,https://github.com/square/retrofit/commit/a307aaac884dc7f1b1ef99f8f94125d8d141dc54,"GOAL: Add an API that returns a list of call adapter factories.
NEED: The developer needed a way to modify the list of CallAdapter.Factory instances in the same way as OkHttpClient.Builder allows access to a mutable list of interceptors. But Retrofit.Builder did not provide an API to retrieve this list.","GOAL: Add a new Retrofit.Builder.callAdapterFactories() method—a sister API to converterFactories()—that returns a modifiable List<CallAdapter.Factory>.

NEED: Expose a mutable list of CallAdapter.Factory instances on the Builder so clients can call newBuilder() and swap in custom adapters, similar to converterFactories() and OkHttpClient.Builder’s interceptor list.

ALTERNATIVES: Considered keeping default factories out of the exposed list by moving them into build() and stripping them out when cloning via newBuilder() rather than exposing them directly.",5,2,4,2,,,,,,,
,Dev,1,0,resolved,CG-ZS,6326,https://github.com/square/okhttp/commit/53e0f9e7fb39f7babd6388a7a56e9c7e827667e7,"GOAL: Adopt Kotlin idioms in the Headers API.
ALTERNATIVES: Using an inline function(forEachHeader()) and changing the internal data store to an array of (name, value) pairs could be used as alternatives.","GOAL: Adopt idiomatic Kotlin in Headers

ALTERNATIVES: One alternative was to provide an inline `forEachHeader()` function, but it wasn’t as flexible. Another was to change the internal store from alternating names and values to an array of pairs, which could reduce allocations on repeated iteration.",4,1,,,5,2,,,,,
,Dev,1,0,resolved,CG-ZS,6367,https://github.com/square/okhttp/commit/a1265b6140a8fe336602b969960d4048ebd1d3da,"GOAL: Fix a regression in combining cache headers
NEED: Iterating over the indices of the header names doesn't work because header names are not distinct, and because of this, cached header combinations drop headers.
ALTERNATIVES: Avoiding duplicate headers in the cache, or refactoring the headers to handle duplicates, or rolling back to Retrofit 2.5.0 and OkHttp 3.14.0 could fix the problem.","GOAL: Fix a regression in combining cache headers by iterating over header entries using their actual count (size) instead of the deduplicated names set.

NEED: After migrating to Kotlin, combine() used cachedHeaders.names().indices, but names() isn’t distinct, so duplicate headers (e.g. “vary”) cause the index range to be too small and drop entries like content-encoding, leading Retrofit to misparse cached (gzipped) responses.

ALTERNATIVES: Consider preventing duplicate headers in the cache or refactoring the Header API to handle duplicate header names.",5,2,5,3,3,2,,,,,
1,Test,3,2,resolved,CG-FS,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,"GOAL: Make the name variable in the TestName class volatile by adding the volatile keyword.
NEED: Ensures the name is published across threads correctly, for instance, if a parallelized runner is used. It also improves safety when a variable is used in multiple threads with almost no processing overhead.","GOAL: Make the TestName rule’s private name field volatile.  
NEED: Ensures the test name is safely published across threads (for example under parallel runners), guards against undefined behavior if threads are later reused (e.g. by Timeout), and comes at almost no performance cost.",4,2,5,2,,,4.444444444,2,4,4.210526316,4.175824176
,Dev,1,0,resolved,CG-ZS,29742,https://github.com/spring-projects/spring-boot/commit/1c789f1a8d7fea4af7624496197fa931a3d4634d,"GOAL: Remove dependency management for `hibernate-entitymanager` because it is redundant. 
NEED: Since Spring Boot 2.0 supports Hibernate 5.2 as a minimum, the hibernate-entitymanager dependency should be removed, and `hibernate-core` should be used directly instead. The hibernate-entitymanager module was merged into hibernate-core in Hibernate 5.2 and now exists only as an empty artifact for backward compatibility. It is scheduled for removal in Hibernate 6.0. 
ALTERNATIVES: The commit isn’t needed since the artifact may no longer be required, however removing it would go against the policy of providing dependency management for all modules.","GOAL: Remove dependency management and direct dependencies on the now-redundant `hibernate-entitymanager` artifact across Spring Boot modules, replacing them with `hibernate-core`.  

NEED: Since Hibernate 5.2 merged `hibernate-entitymanager` into `hibernate-core` (making the former an empty compatibility artifact slated for removal in Hibernate 6) and Spring Boot 2.0 requires at least Hibernate 5.2, managing or depending on `hibernate-entitymanager` is no longer necessary.  

ALTERNATIVES: The team considered retaining dependency management for `hibernate-entitymanager`—both to cover all library modules per policy and because the artifact still exists in Hibernate 5.2 (and would harmlessly remain a no-op in Hibernate 6)—but ultimately chose to remove it.",5,2,5,1,5,3,,,,,
,Dev,2,2,annotator1,CG-FS,928,https://github.com/junit-team/junit4/commit/5eee07b3e21f196b8cb937fb88eb8cf4be694f76,"GOAL: Optimize ParentRunner.filter by filtering the elements so that it does not create redundant nested filters for each suite.
NEED: Prior to this change, applying a filter to a nested suite would create redundant nested filters, i.e., for each suite or test class, ParentRunner.filter() called Filter.intersect() again.","GOAL: Optimize ParentRunner.filter for nested suites by removing the fFilter.intersect step and directly applying the passed Filter to each child.  
NEED: Before this change, filtering a nested suite repeatedly called Filter.intersect for each suite or test class, creating redundant nested Filter instances.",4,2,4,1,,,,,,,
,Dev,2,2,annotator1,CG-FS,1625,https://github.com/junit-team/junit4/commit/b1d37670892cd885b87a7c62d7c5808517fd20b6,GOAL: Remove the variable from the MaxStarterTest class because it was unused.,GOAL: Remove the unused variable `fMessage` from `MaxStarterTest`.,5,2,,,,,,,,,
,Dev,2,2,annotator1,CG-FS,3142,https://github.com/apache/dubbo/commit/8798d3852ed0e9e82f037e89f9b8cd8b96a17e49,"GOAL: Ensure that protocols are not registered when the register attribute is set to false by configuring register to false by default.
NEED: The protocol register registers a protocol, even when the register attribute is set to false. Besides, the log message is incorrect.","GOAL: Implement support for the protocol-level `register` attribute by removing its always-true default, introducing a `REGISTER_KEY` constant, and conditioning service export/registration logic (and its logging) on the `register` parameter.

NEED: Users reported that setting `register=""false""` on a `<dubbo:protocol>` had no effect—both protocols were still registered and logs continued to show registration—because `ProtocolConfig.isRegister` (and `RegistryConfig.isRegister`) were never consulted and the log message was misleading.",5,3,5,2,,,,,,,
,Dev,2,2,annotator1,CG-FS,3261,https://github.com/apache/dubbo/commit/5f19335477a9ea4eb0af0dd0bdbe068b4e309edd,GOAL: Update the spelling of AcessLogFilter to AccessLogFilter.,GOAL: Correct the typo in AccessLogFilter by changing the logger warning message and corresponding test assertion from “AcessLogFilter” to “AccessLogFilter”.,5,3,,,,,,,,,
,Dev,2,2,annotator1,CG-FS,4762,https://github.com/square/retrofit/commit/9d683b75b111e60d30da8a03335d2ce71f5e8585,"GOAL: Update Retrofit’s coroutine suspension mechanism to use Dispatchers.Default and low-level coroutine intrinsics, instead of relying on yield.
NEED: With the current implementation, it's possible for certain dispatchers to completely avoid yielding, and currently, the immediate dispatchers exhibit this behavior. For this reason, Retrofit crashes with `UndeclaredThrowableException` when using the `suspend` modifier, making multiple requests, or throwing an exception from an interceptor.","GOAL: Migrate the forced‐suspension mechanism in suspendAndThrow from kotlin.coroutines.yield() to Dispatchers.Default using low-level coroutine intrinsics (suspendCoroutineUninterceptedOrReturn, intercepted, resumeWithException) and update tests to use a dispatcher that prevents yield() to verify the new behavior.  
NEED: Yield-based suspension can be skipped by immediate dispatchers, causing exceptions caught in await/awaitNullable to be delivered synchronously into the continuation—where Java proxies then wrap checked exceptions as UndeclaredThrowableException—and Retrofit has no built-in thread pool to defer resumption, so a reliable suspend is needed to avoid these wrapped exceptions observed in suspend functions, interceptors, and non-wrapping adapters.  
ALTERNATIVES: Requiring every suspending interface method to declare checked exceptions with @Throws(IOException::class) or @Throws(Exception::class), or bouncing synchronous exceptions into the continuation via OkHttp’s executor.",5,3,4,3,1,5,,,,,
,Dev,2,2,annotator1,CG-FS,4807,https://github.com/square/retrofit/commit/ac566e1abd3fee77d8d588a2cd97c5056d330d2c,"GOAL: Ensure Retrofit’s eagerlyValidateMethods() ignores static interface methods.
NEED: Retrofit 2.1.0 throws an exception when building a client implementation proxy if the interface has static methods.","GOAL: Modify Retrofit.eagerlyValidateMethods to ignore static interface methods during eager validation, enabling support for Java 8 interface static methods.  
NEED: Retrofit 2.1.0 throws an exception when building a client proxy if the interface defines static methods, because eagerlyValidateMethods does not skip them.  
ALTERNATIVES: Add a Modifier.STATIC check (`(method.getModifiers() & Modifier.STATIC) != Modifier.STATIC`) in eagerlyValidateMethods—either inline or via Platform—to bypass static methods.",5,3,5,2,1,5,,,,,
